last_name, first_name,player_id,year,r_total_caught_stealing,r_total_stolen_base,r_caught_stealing_2b,r_caught_stealing_3b,r_caught_stealing_home,r_pickoff_1b,r_pickoff_2b,r_pickoff_3b,r_stolen_base_2b,r_stolen_base_3b,r_stolen_base_home,r_total_pickoff,n_bolts,hp_to_1b,sprint_speed,
Renfroe, Hunter,592669,2017,0,3,0,0,0,0,0,0,3,0,0,0,,4.38,27.2,
Robinson, Drew,592685,2017,2,0,2,0,0,1,0,0,0,0,0,1,,4.36,27.4,
Rosario, Eddie,592696,2017,8,9,5,1,2,0,0,0,8,1,0,0,,4.18,27.5,
Rutledge, Josh,592710,2017,0,1,0,0,0,0,0,0,1,0,0,0,4,4.22,29.0,
Simmons, Andrelton,592743,2017,6,19,5,1,0,3,1,0,15,4,0,4,,4.41,27.5,
Syndergaard, Noah,592789,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Taillon, Jameson,592791,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,22.3,
Toles, Andrew,592808,2017,1,0,1,0,0,0,0,0,0,0,0,0,2,4.12,28.6,
Velasquez, Vince,592826,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,24.6,
Walker, Taijuan,592836,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.48,26.8,
Williams, Mason,592863,2017,0,2,0,0,0,0,0,0,2,0,0,0,,,27.9,
Williams, Trevor,592866,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,21.8,
Wojciechowski, Asher,592879,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Yelich, Christian,592885,2017,2,16,1,1,0,2,0,0,14,2,0,2,31,4.24,28.3,
Merrifield, Whit,593160,2017,8,34,6,1,1,2,0,0,26,8,0,2,14,4.22,29.2,
Martinez, Carlos,593372,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.58,25.2,
Bogaerts, Xander,593428,2017,1,15,0,1,0,0,0,0,12,3,0,0,,4.21,28.3,
Hernandez, Marco,593523,2017,1,0,1,0,0,0,0,0,0,0,0,0,1,4.03,28.3,
Calixte, Orlando,593525,2017,0,1,0,0,0,0,0,0,1,0,0,0,3,4.21,29.4,
Torres, Ramon,593527,2017,0,1,0,0,0,0,0,0,1,0,0,0,,4.19,28.4,
Bonifacio, Jorge,593528,2017,1,1,1,0,0,0,1,0,1,0,0,1,3,4.28,28.5,
Hanson, Alen,593700,2017,3,11,3,0,0,0,0,0,10,1,0,0,22,4,29.3,
Polanco, Jorge,593871,2017,5,13,4,1,0,3,1,0,13,0,0,4,13,4.15,28.5,
Sano, Miguel,593934,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.62,26.9,
May, Jacob,594576,2017,0,0,0,0,0,0,0,0,0,0,0,0,1,,28.8,
Difo, Wilmer,594694,2017,1,10,1,0,0,0,0,0,10,0,0,0,17,4.18,29.1,
Calhoun, Kole,594777,2017,1,5,0,0,1,0,0,1,5,0,0,1,1,4.52,26.4,
deGrom, Jacob,594798,2017,0,1,0,0,0,0,0,0,1,0,0,0,,4.32,26.9,
Duvall, Adam,594807,2017,3,5,3,0,0,0,0,0,5,0,0,0,,4.37,27.9,
Eaton, Adam,594809,2017,1,3,1,0,0,0,0,0,3,0,0,0,2,4.06,28.6,
Garcia, Greg,594824,2017,1,2,1,0,0,0,0,0,1,1,0,0,,4.25,27.6,
Gattis, Evan,594828,2017,1,0,1,0,0,0,0,0,0,0,0,0,,4.49,26.6,
Gosselin, Phil,594838,2017,1,0,0,0,1,0,0,0,0,0,0,0,3,4.22,28.5,
Lively, Ben,594902,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,23.0,
Schebler, Scott,594988,2017,3,5,3,0,0,1,0,0,5,0,0,1,1,4.24,28.3,
Brugman, Jaycob,595144,2017,2,1,2,0,0,0,0,0,1,0,0,0,,4.29,27.2,
Eickhoff, Jerad,595191,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,26.2,
Hannemann, Jacob,595238,2017,1,0,1,0,0,0,0,0,0,0,0,0,1,,29.4,
Kiermaier, Kevin,595281,2017,7,16,6,1,0,0,0,0,11,5,0,0,27,4.01,29.3,
Knapp, Andrew,595284,2017,0,1,0,0,0,0,1,0,1,0,0,1,,4.36,27.0,
Riddle, JT,595375,2017,2,0,0,0,2,1,0,0,0,0,0,1,,4.33,28.1,
Stassi, Brock,595426,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.42,27.0,
Wallach, Chad,595453,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Alfaro, Jorge,595751,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.35,28.1,
Profar, Jurickson,595777,2017,1,1,1,0,0,1,0,0,1,0,0,1,,,26.6,
Baez, Javier,595879,2017,3,10,3,0,0,1,0,0,8,1,1,1,5,4.24,28.5,
Bird, Greg,595885,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.67,25.0,
Cole, A.J.,595918,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Evans, Phillip,595943,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,27.7,
Gallagher, Cam,595956,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,24.1,
Hedges, Austin,595978,2017,1,4,0,0,1,0,0,0,4,0,0,0,,4.58,26.4,
Lindor, Francisco,596019,2017,3,15,3,0,0,1,1,0,14,1,0,2,1,4.23,28.0,
Odor, Rougned,596059,2017,6,15,5,1,0,1,0,0,13,2,0,1,5,4.17,28.1,
Peters, Dillon,596071,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Slater, Austin,596103,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.33,28.5,
Smith Jr., Dwight,596105,2017,0,1,0,0,0,0,0,0,0,1,0,0,,,27.4,
Stephenson, Robert,596112,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,23.3,
Story, Trevor,596115,2017,2,7,2,0,0,1,0,0,7,0,0,1,47,4.18,29.3,
Vogelbach, Daniel,596129,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,23.9,
Weaver, Luke,596133,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,26.6,
Sanchez, Gary,596142,2017,1,2,1,0,0,0,0,0,2,0,0,0,,4.51,26.0,
Sardinas, Luis,596143,2017,0,1,0,0,0,0,0,0,1,0,0,0,,,26.7,
Cuthbert, Cheslor,596144,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.66,25.6,
Kepler, Max,596146,2017,1,6,1,0,0,1,0,0,6,0,0,1,3,4.23,28.0,
Franco, Maikel,596748,2017,0,0,0,0,0,0,1,0,0,0,0,1,,4.76,26.0,
Choi, Ji-Man,596847,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,25.4,
Bradley Jr., Jackie,598265,2017,3,8,3,0,0,0,0,0,6,2,0,0,,4.29,27.5,
Motter, Taylor,600301,2017,1,12,1,0,0,1,0,0,12,0,0,1,,4.56,26.8,
La Stella, Tommy,600303,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.42,26.2,
Read, Raudy,600466,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Severino, Pedro,600474,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,27.1,
Nunez, Renato,600524,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Candelario, Jeimer,600869,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.29,27.6,
Pivetta, Nick,601713,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,24.7,
Ahmed, Nick,605113,2017,4,3,1,3,0,0,2,0,2,1,0,2,2,4.35,28.2,
Anderson, Brian,605119,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.56,26.7,
Asche, Cody,605125,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,26.3,
Barnes, Austin,605131,2017,1,4,1,0,0,0,0,0,2,2,0,0,,4.42,27.2,
Bell, Josh,605137,2017,4,2,4,0,0,1,0,0,2,0,0,1,,4.39,27.2,
Betts, Mookie,605141,2017,3,26,3,0,0,1,0,0,21,5,0,1,6,4.21,27.9,
Caratini, Victor,605170,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.63,25.3,
Davies, Zach,605200,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.72,25.5,
Davis, J.D.,605204,2017,1,1,1,0,0,0,0,0,1,0,0,0,,4.55,26.9,
Featherston, Taylor,605227,2017,0,1,0,0,0,0,0,0,0,1,0,0,,,28.2,
Fisher, Derek,605233,2017,3,3,3,0,0,0,0,0,3,0,0,0,23,4.07,29.3,
Nola, Aaron,605400,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.75,24.6,
Panik, Joe,605412,2017,1,4,1,0,0,0,0,0,4,0,0,0,1,4.45,26.0,
Ross, Joe,605452,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,27.6,
Smith, Mallex,605480,2017,5,16,3,1,1,3,0,0,14,2,0,3,62,4.01,30.1,
Spangenberg, Cory,605486,2017,3,11,2,1,0,3,0,0,8,2,1,3,17,4.14,28.7,
Tomlinson, Kelby,605509,2017,1,9,1,0,0,1,0,0,7,2,0,1,4,4.18,28.1,
Woodruff, Brandon,605540,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,22.5,
Zimmer, Bradley,605548,2017,1,18,0,1,0,1,0,0,18,0,0,1,58,4.07,30.0,
Arcia, Orlando,606115,2017,7,14,5,2,0,1,0,0,11,3,0,1,,4.38,27.3,
Perdomo, Luis,606131,2017,0,0,0,0,0,0,0,0,0,0,0,0,4,,28.9,
Tapia, Raimel,606132,2017,2,5,1,1,0,0,1,0,5,0,0,1,18,4.05,29.4,
Montero, Rafael,606160,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,23.4,
Hernandez, Teoscar,606192,2017,1,0,1,0,0,0,1,0,0,0,0,1,1,4.24,28.7,
Peraza, Jose,606299,2017,8,23,6,1,1,2,1,0,20,3,0,3,20,4.16,28.9,
Marte, Ketel,606466,2017,1,3,1,0,0,0,0,0,3,0,0,0,13,4.13,29.2,
Nimmo, Brandon,607043,2017,0,2,0,0,0,0,0,0,2,0,0,0,4,4.23,28.6,
Peterson, Jace,607054,2017,0,3,0,0,0,0,0,0,3,0,0,0,8,4.16,28.6,
Glasnow, Tyler,607192,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,27.7,
Turner, Trea,607208,2017,8,46,7,1,0,4,0,0,32,14,0,4,98,4.09,30.4,
Romano, Sal,607219,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Gsellman, Robert,607229,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,23.2,
Garrett, Amir,607237,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,22.5,
Lopez, Raffy,607257,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,24.9,
Smith, Kevan,607345,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.6,26.6,
Taijeron, Travis,607369,2017,0,0,0,0,0,0,1,0,0,0,0,1,,,26.2,
Collins, Tyler,607385,2017,4,0,3,1,0,0,0,0,0,0,0,0,,4.31,27.4,
Rua, Ryan,607387,2017,2,2,2,0,0,0,0,0,2,0,0,0,1,4.53,27.9,
Bostick, Christopher,607471,2017,1,0,1,0,0,0,0,0,0,0,0,0,,,28.4,
Freeland, Kyle,607536,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,27.8,
Lugo, Seth,607625,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.49,26.2,
Pillar, Kevin,607680,2017,6,15,5,1,0,2,0,0,12,3,0,2,1,4.38,27.8,
Stallings, Jacob,607732,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,25.5,
Travis, Sam,607752,2017,0,1,0,0,0,0,0,0,0,1,0,0,,4.42,27.1,
Williamson, Mac,607776,2017,1,1,1,0,0,0,0,0,1,0,0,0,,4.4,27.9,
Rivera, T.J.,608061,2017,0,1,0,0,0,0,0,0,1,0,0,0,,4.42,26.8,
Ramirez, Jose,608070,2017,5,17,4,1,0,2,0,0,13,4,0,2,,4.28,28.0,
Bregman, Alex,608324,2017,5,17,4,1,0,1,2,0,14,3,0,3,,4.36,27.6,
Cecchini, Gavin,608325,2017,1,0,1,0,0,0,0,0,0,0,0,0,,4.37,27.7,
Gallo, Joey,608336,2017,2,7,1,1,0,1,0,0,6,1,0,1,1,4.42,27.9,
Kelly, Carson,608348,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.72,25.7,
Russell, Addison,608365,2017,1,2,1,0,0,0,0,0,2,0,0,0,,4.21,28.2,
Seager, Corey,608369,2017,2,4,1,0,1,1,1,0,4,0,0,2,,4.48,26.9,
Sims, Lucas,608371,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Wacha, Michael,608379,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.46,25.5,
Williams, Nick,608384,2017,2,1,2,0,0,0,0,0,1,0,0,0,12,4.19,29.1,
Winker, Jesse,608385,2017,1,1,0,1,0,0,0,0,1,0,0,0,,4.54,25.8,
Marquez, German,608566,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.61,25.5,
Mazara, Nomar,608577,2017,2,2,2,0,0,1,0,0,2,0,0,1,1,4.34,27.0,
Murphy, Tom,608596,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,26.4,
Jankowski, Travis,608671,2017,0,4,0,0,0,0,0,0,4,0,0,0,2,,27.8,
Johnson, Micah,608672,2017,0,1,0,0,0,0,0,0,1,0,0,0,,,,
Plawecki, Kevin,608700,2017,0,1,0,0,0,0,0,0,1,0,0,0,,4.55,25.9,
Refsnyder, Rob,608701,2017,1,4,1,0,0,0,0,0,3,1,0,0,,4.45,27.3,
Reynolds, Matt,608703,2017,1,0,1,0,0,0,0,0,0,0,0,0,,4.51,27.3,
Stratton, Chris,608717,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,22.4,
Suter, Brent,608718,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,27.4,
Mondesi, Adalberto,609275,2017,2,5,2,0,0,1,0,0,4,1,0,1,7,,29.3,
Garcia, Adonis,611177,2017,0,4,0,0,0,0,0,0,4,0,0,0,,4.48,26.3,
Cordero, Franchy,614173,2017,1,1,1,0,0,0,0,0,1,0,0,0,11,4.03,29.9,
Barreto, Franklin,620439,2017,0,2,0,0,0,0,0,0,2,0,0,0,2,,29.4,
Torrens, Luis,620443,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.57,26.8,
Urena, Richard,620446,2017,0,1,0,0,0,0,0,0,1,0,0,0,,,28.6,
Robertson, Daniel,621002,2017,1,1,1,0,0,0,0,0,1,0,0,0,,4.43,27.5,
Swanson, Dansby,621020,2017,3,3,3,0,0,1,0,0,3,0,0,1,5,4.19,28.7,
Taylor, Chris,621035,2017,4,17,3,1,0,2,0,0,12,4,1,2,15,4.18,29.0,
Correa, Carlos,621043,2017,1,2,1,0,0,1,1,0,2,0,0,2,,4.36,27.7,
Eflin, Zach,621107,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Blach, Ty,621389,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,26.1,
Phillips, Brett,621433,2017,0,5,0,0,0,0,0,0,5,0,0,0,2,3.93,29.0,
Buxton, Byron,621439,2017,1,29,1,0,0,0,0,0,29,0,0,0,113,3.95,30.6,
Brinson, Lewis,621446,2017,0,1,0,0,0,0,0,0,1,0,0,0,4,4.24,29.2,
Powell, Boog,621471,2017,1,0,1,0,0,0,0,0,0,0,0,0,,4.21,28.1,
Nido, Tomas,621512,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Moroff, Max,621559,2017,1,0,1,0,0,1,0,0,0,0,0,1,1,4.17,28.1,
Wendle, Joey,621563,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,27.8,
Olson, Matt,621566,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.72,24.3,
Wood, Alex,622072,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,22.3,
Thompson, Jake,622097,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Maxwell, Bruce,622194,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.88,23.9,
Mejia, Alex,622270,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.45,27.2,
Bautista, Rafael,622441,2017,0,0,0,0,0,0,0,0,0,0,0,0,7,,28.8,
Castillo, Luis,622491,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,25.1,
Gomez, Miguel,622497,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,26.4,
Margot, Manuel,622534,2017,7,17,6,1,0,2,0,0,11,6,0,2,41,4.17,29.4,
Senzatela, Antonio,622608,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,25.6,
Camargo, Johan,622666,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.37,26.7,
Flexen, Chris,623167,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Kivlehan, Patrick,623182,2017,2,1,1,1,0,0,0,0,1,0,0,0,,4.34,28.3,
Santander, Anthony,623993,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,27.0,
Lin, Tzu-Wei,624407,2017,1,1,1,0,0,0,0,0,1,0,0,0,1,4.12,28.5,
Arroyo, Christian,624414,2017,2,1,2,0,0,0,0,0,1,0,0,0,,4.43,27.6,
Conforto, Michael,624424,2017,0,2,0,0,0,0,1,0,2,0,0,1,,4.33,27.7,
Frazier, Adam,624428,2017,5,9,5,0,0,1,0,0,7,2,0,1,,4.29,27.5,
Jones, Ryder,624507,2017,0,1,0,0,0,0,0,0,1,0,0,0,,4.4,27.3,
Puig, Yasiel,624577,2017,6,15,5,1,0,0,0,0,12,3,0,0,6,4.29,28.1,
Soler, Jorge,624585,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.51,27.7,
Gohara, Luiz,627894,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Maeda, Kenta,628317,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,24.5,
Despaigne, Odrisamer,628333,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,21.6,
Heredia, Guillermo,628338,2017,5,1,5,0,0,2,0,0,1,0,0,2,2,4.19,28.7,
Tomas, Yasmany,630111,2017,0,0,0,0,0,0,1,0,0,0,0,1,,4.55,26.9,
Ervin, Phillip,640447,2017,1,4,1,0,0,0,0,0,4,0,0,0,4,4.24,28.7,
Frazier, Jackson,640449,2017,0,1,0,0,0,0,0,0,1,0,0,0,,4.19,28.8,
Pinder, Chad,640461,2017,1,2,1,0,0,0,0,0,2,0,0,0,,4.42,27.7,
Anderson, Tim,641313,2017,1,15,1,0,0,2,0,0,10,5,0,2,23,4.23,28.8,
Asuaje, Carlos,641319,2017,1,0,1,0,0,0,0,0,0,0,0,0,,4.42,27.1,
Bellinger, Cody,641355,2017,3,10,3,0,0,1,0,0,8,2,0,1,13,4.08,28.9,
Calhoun, Willie,641432,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.7,25.4,
Crawford, J.P.,641487,2017,0,1,0,0,0,0,0,0,1,0,0,0,1,4.36,27.8,
Engel, Adam,641553,2017,1,8,1,0,0,0,0,0,8,0,0,0,68,4.05,30.5,
Garver, Mitch,641598,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,27.3,
Kuhl, Chad,641771,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,23.4,
Mancini III, Trey,641820,2017,0,1,0,0,0,0,0,0,1,0,0,0,,4.44,27.6,
McMahon, Ryan,641857,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,25.8,
Sisco, Chance,642082,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,26.0,
Smith, Dominic,642086,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.58,25.3,
Smith, Tyler,642094,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,26.9,
Turner, Stuart,642156,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.79,25.5,
Valaika, Pat,642162,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.3,27.7,
Wade, Tyler,642180,2017,1,1,1,0,0,1,0,0,1,0,0,1,1,4.08,29.1,
Mejia, Francisco,642336,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,27.5,
Sierra, Magneuris,642423,2017,2,2,2,0,0,1,0,0,2,0,0,1,15,3.91,30.6,
Cordoba, Allen,642707,2017,2,2,2,0,0,0,0,0,2,0,0,0,15,4.17,29.3,
Rosario, Amed,642708,2017,3,7,2,0,1,0,0,0,7,0,0,0,26,4.04,30.1,
Benintendi, Andrew,643217,2017,5,20,5,0,0,0,0,0,16,4,0,0,3,4.21,28.3,
Brault, Steven,643230,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,23.9,
Cooper, Garrett,643265,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,27.6,
Godley, Zack,643327,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,26.9,
Granite, Zack,643335,2017,2,2,2,0,0,0,0,0,2,0,0,0,11,4.08,28.9,
Kemp, Tony,643393,2017,0,1,0,0,0,0,0,0,1,0,0,0,,,26.7,
Leiter Jr., Mark,643410,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,23.4,
Tauchman, Mike,643565,2017,2,1,2,0,0,1,0,0,1,0,0,1,,,28.4,
White, Tyler,643603,2017,1,0,1,0,0,0,0,0,0,0,0,0,,,26.7,
Albies, Ozzie,645277,2017,1,8,1,0,0,1,0,0,7,1,0,1,10,4.16,28.7,
Robles, Victor,645302,2017,1,0,1,0,0,0,0,0,0,0,0,0,12,,30.9,
Devers, Rafael,646240,2017,1,3,1,0,0,1,0,0,2,1,0,1,,4.27,27.9,
Diaz, Aledmys,649557,2017,1,4,1,0,0,1,0,0,3,1,0,1,,4.2,28.6,
Diaz, Yandy,650490,2017,0,2,0,0,0,0,0,0,2,0,0,0,,4.38,27.5,
Allen, Greg,656185,2017,0,1,0,0,0,0,0,0,1,0,0,0,5,,28.7,
Chapman, Matt,656305,2017,3,0,2,1,0,1,0,1,0,0,0,2,1,4.34,28.7,
Hoffman, Jeff,656546,2017,0,0,0,0,0,1,0,0,0,0,0,1,,,25.8,
Hoskins, Rhys,656555,2017,0,2,0,0,0,0,0,0,2,0,0,0,,4.49,26.1,
Luplow, Jordan,656669,2017,1,0,1,0,0,0,0,0,0,0,0,0,,4.37,28.2,
Newcomb, Sean,656794,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,22.1,
Schwarber, Kyle,656941,2017,1,1,0,1,0,0,0,0,1,0,0,0,,4.32,26.9,
Verdugo, Alex,657077,2017,1,0,1,0,0,1,0,0,0,0,0,1,,,24.3,
Zagunis, Mark,657145,2017,0,2,0,0,0,0,0,0,2,0,0,0,,,28.2,
DeJong, Paul,657557,2017,0,1,0,0,0,0,0,0,1,0,0,0,,4.31,28.4,
Lamet, Dinelson,659275,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,26.4,
Moncada, Yoan,660162,2017,2,3,2,0,0,0,0,0,3,0,0,0,9,4.22,28.9,
Happ, Ian,664023,2017,4,8,4,0,0,1,0,0,8,0,0,1,3,4.19,28.9,
Bader, Harrison,664056,2017,1,2,1,0,0,0,0,0,2,0,0,0,16,4.08,30.1,
Stevenson, Andrew,664057,2017,0,1,0,0,0,0,0,0,1,0,0,0,7,4.11,29.2,
Hwang, Jae-Gyun,666561,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.32,28.4,
Hays, Austin,669720,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.23,28.9,